Time, Sonar_F, Linear_Velocity_X, Angular_Velocity_Z, Front_Right_Error, Right_Error
8.455, 0.9908565878868103, 0.025, -3.141592653589793, 0.0, 0.0
8.472, 1.0291301012039185, 0.025, -3.141592653589793, 0.0, 0.0
8.473, 1.0291301012039185, 0.025, -3.141592653589793, 0.0, 0.0
8.483, 1.0291301012039185, 0.025, -3.141592653589793, 0.0, 0.0
8.495, 1.0291301012039185, 0.025, -3.141592653589793, 0.0, 0.0
8.503, 1.1114449501037598, 0.025, -3.141592653589793, 0.0, 0.0
8.518, 1.1412982940673828, 0.025, -3.141592653589793, 0.0, 0.0
8.534, 1.1412982940673828, 0.025, -3.141592653589793, 0.0, 0.0
8.534, 1.1412982940673828, 0.025, -3.141592653589793, 0.0, 0.0
8.543, 1.1412982940673828, 0.025, -3.141592653589793, 0.0, 0.0
8.556000000000001, 1.1412982940673828, 0.025, -3.141592653589793, 0.0, 0.0
8.564, 1.245119571685791, 0.025, -3.141592653589793, 0.0, 0.0
8.573, 1.245119571685791, 0.025, -3.141592653589793, 0.0, 0.0
8.583, 1.245119571685791, 0.025, -3.141592653589793, 0.0, 0.0
8.593, 1.245119571685791, 0.025, -3.141592653589793, 0.0, 0.0
8.604, 1.3762388229370117, 0.025, -3.141592653589793, 0.0, 0.0
8.616, 1.4631091356277466, 0.025, -3.141592653589793, 0.0, 0.0
8.626, 1.4631091356277466, 0.025, -3.141592653589793, 0.0, 0.0
8.633, 1.4631091356277466, 0.025, -3.141592653589793, 0.0, 0.0
8.645, 1.5427861213684082, 0.025, -3.141592653589793, 0.0, 0.0
8.656, 1.5427861213684082, 0.025, -3.141592653589793, 0.0, 0.0
8.663, 1.6664931774139404, 0.6, 1539.0752163226143, -0.6470252084732055, -0.9918738603591919
8.676, 1.6664931774139404, 0.6, 49.16697206497192, -0.6470252084732055, -0.9918738603591919
8.696, 1.9506043195724487, 0.6, 65.22355301994877, -0.6671152520179748, -0.9918738603591919
8.696, 1.9506043195724487, 0.6, 49.769673371315, -0.6671152520179748, -0.9918738603591919
8.704, 1.9506043195724487, 0.6, -609588622998.9341, -0.6671152520179748, -0.9309149980545044
8.713, 1.9506043195724487, 0.6, 47.940907502174376, -0.6671152520179748, -0.9309149980545044
8.723, 2.0, 0.6, 47.940907502174376, -0.6671152520179748, -0.9309149980545044
8.733, 2.0, 0.6, 32.24252703342261, -0.7148352074623108, -0.867953896522522
8.746, 2.0, 0.6, 47.48367311954498, -0.7148352074623108, -0.867953896522522
8.759, 2.0, 0.6, 47.48367311954498, -0.7148352074623108, -0.867953896522522
8.769, 2.0, 0.6, 45.02246276800331, -0.7307388591766357, -0.8489707708358765
8.775, 2.0, 0.6, 47.391288900375365, -0.7307388591766357, -0.8489707708358765
8.786, 2.0, 0.6, 78.23367657156487, -0.7617926406860351, -0.8360952138900757
8.794, 2.0, 0.6, 47.936635637283324, -0.7617926406860351, -0.8360952138900757
8.804, 2.0, 0.6, 53.24272694522936, -0.7688531684875488, -0.8331800699234009
8.813, 2.0, 0.6, 48.06099715232849, -0.7688531684875488, -0.8331800699234009
8.823, 2.0, 0.6, 40.45713380789901, -0.776186089515686, -0.8191835880279541
8.833, 2.0, 0.6, 47.8610903263092, -0.776186089515686, -0.8191835880279541
8.843, 2.0, 0.6, 54.098351621022246, -0.790071587562561, -0.8113536834716797
8.855, 2.0, 0.6, 48.04275813102722, -0.790071587562561, -0.8113536834716797
8.864, 2.0, 0.6, 48.04275813102722, -0.790071587562561, -0.8113536834716797
8.874, 2.0, 0.6, 47.077481836847255, -0.7945333528518677, -0.8060460090637207
8.885, 2.0, 0.6, 48.01738085746765, -0.7945333528518677, -0.8060460090637207
8.913, 2.0, 0.6, 48.01738085746765, -0.7945333528518677, -0.8060460090637207
8.913, 2.0, 0.6, 48.01738085746765, -0.7945333528518677, -0.8060460090637207
8.913, 2.0, 0.6, 48.01738085746765, -0.7945333528518677, -0.8060460090637207
8.923, 2.0, 0.6, 48.01738085746765, -0.7945333528518677, -0.8060460090637207
8.933, 2.0, 0.6, 46.6172570229936, -0.7931740093231201, -0.8060460090637207
8.943999999999999, 2.0, 0.6, 49.77823319417628, -0.7931740093231201, -0.8077951669692993
8.953, 2.0, 0.6, 37.88353125921583, -0.7823704290390014, -0.8077951669692993
8.964, 2.0, 0.6, 47.70496788024902, -0.7823704290390014, -0.8077951669692993
8.979, 2.0, 0.6, 47.70496788024902, -0.7823704290390014, -0.8077951669692993
8.984, 2.0, 0.6, 47.70496788024902, -0.7823704290390014, -0.8077951669692993
8.993, 2.0, 0.6, 47.70496788024902, -0.7823704290390014, -0.8077951669692993
9.003, 2.0, 0.6, 47.70496788024902, -0.7823704290390014, -0.8077951669692993
